 MAIN ENERGY,Efficiency
765.16,4.9
770.84,5.41
786.3,5.02
800.76,4.83
800.76,4.83
788.26,5.36
800.37,5.32
776.54,4.81
779.9,5.36
813.12,4.68
811.72,5.48
803.3,5.39
783.83,5.28
796.08,5.4
757.41,5.63
770.51,5.37
757.66,5.88
787.22,5.72
762.09,6.09
771.52,5.72
775.12,5.75
743.14,5.24
758.96,5.54
782.01,5.76
772.73,5.9
777.05,5.77
761.33,5.88
759.73,6.02
743.3,5.67
746.97,5.98
774.86,5.93
743.71,6.21
770.91,5.88
785.68,5.8
785.68,5.8
804.32,5.64
804.32,5.64
712.32,6.28
792.99,5.84
785,5.82
796.72,5.59
770.98,5.9
770.98,5.9
782.32,5.77
807.39,5.61
761.65,5.96
777.32,5.86
778.22,5.82
786.78,5.73
791.06,5.73
798.53,5.68
798.53,5.68
800.57,5.7
800.57,5.7
761.27,5.54
767.87,5.69
784.41,5.78
784.41,5.78
787.46,5.25
789.75,5.75
789.75,5.75
794.46,5.78
753.11,6.1
747.54,5.98
743.57,5.36
772.09,6.01
774.27,5.87
776.06,5.36
786.23,4.91
756.78,5.75
788.06,5
770.05,5.51
765,5.38
764.35,5.29
781.68,5.88
749.27,4.89
782.64,5.35
782.64,5.35
750.38,5.63
750.38,5.63
759.07,5.62
791.96,5.85
791.96,5.85
803.59,5.59
783.92,5.48
782.01,5.35
800.14,5.78
800.14,5.78
788.08,5.76
788.08,5.76
757.95,5.45
776.54,5.57
776.54,5.57
776.66,5.69
776.66,5.69
793.67,5.42
778.02,5.88
787.94,5.87
782.14,5.63
787.1,5.53
768.37,5.85
774.48,5.16
782.6,5.32
782.6,5.32
781.68,5.7
781.68,5.7
760.38,6.09
759.44,5.97
764.83,6.07
764.83,6.07
726.57,6.11
766.61,5.67
766.61,5.67
746.16,6.03
746.16,6.03
751.06,6.04
740.19,6.29
734.7,6.22
734.7,6.22
728.48,6.25
733.53,6.31
733.53,6.31
746.65,5.78
731.38,6.37
734.64,6.32
734.64,6.32
710.07,3.69
778.24,5.8
761.67,6.03
761.67,6.03
778.26,5.9
762.36,6.06
766.64,5.8
746.37,5.6
746.37,5.6
752.38,5.66
756.57,5.44
751.44,6.04
765.9,6.05
765.9,6.05
791.6,5.75
791.6,5.75
756.15,4.57
779.86,3.89
791.93,5.07
765.06,5.81
765.06,5.81
761.22,5.3
791.94,5.84
791.94,5.84
782.61,4.96
782.61,4.96
787.85,5.57
834.13,5.49
809.57,5.67
776.44,5.87
794.33,5.79
792.67,5.8
766.76,5.97
786.65,5.84
783.81,5.88
768.05,5.76
768.05,5.76
773.5,5.86
773.5,5.86
764.91,5.8
782.73,5.81
777.11,5.84
768.36,5.67
774.52,5.87
779.26,5.46
779.26,5.46
792.43,5.69
788,5.85
759.88,6.04
792.46,5.41
792.46,5.41
788.52,5.8
800.93,5.62
803.75,5.75
798.57,5.78
801.18,5.4
795.33,5.68
775.2,5.8
775.2,5.8
781.41,5.88
793.46,5.84
793.46,5.84
787.39,4.99
798.41,5.42
792.08,5.63
764.52,6.02
764.52,6.02
742.54,5.36
766.81,5.79
746.68,5.41
766.19,5.71
759.05,5.8
756.02,6.09
758.74,6.05
779.4,5.6
732.96,6.29
777.73,5.91
753.92,5.52
756.93,5.33
765.64,6.01
765.64,6.01
747.68,5.7
736.47,5.89
736.47,5.89
722.03,5.96
743.32,5.6
731.17,5.62
739.96,5.81
719.74,6.04
738.74,6.29
738.74,6.29
740.18,5.83
722.01,4.25
770.65,4.79
728.88,4.74
725.09,5.36
736.79,4.99
782.66,5.87
787.64,5.85
787.64,5.85
780.4,5.64
760.53,5.98
777.31,5.85
777.14,5.96
778.21,5.78
767.84,5.89
794.32,5.78
794.32,5.78
799.89,5.66
799.89,5.66
802.7,5.64
799.04,5.66
802.38,5.73
802.57,4.59
802.57,4.59
773.35,5.83
803.01,5.32
801.74,5.41
812.02,5.44
813.56,5.1
813.56,5.1
795.8,5.82
795.02,5.23
773.77,5.82
781.14,5.78
792.69,5.61
792.69,5.61
767.93,5.64
774.6,5.58
779.49,5.55
779.66,5.61
780.31,5.61
775.61,5.4
767.52,5.38
769.21,5.08
787.39,5.18
764.74,5.61
771.41,5.69
781.37,5.83
777.62,5.96
792.52,5.83
771.6,5.97
787.9,5.58
782.64,5.31
749.93,6.2
764.28,5.75
768.26,5.29
768.67,5.85
768.67,5.85
768.68,5.54
760.58,5.36
766.59,5.76
766.59,5.76
754.1,6.16
754.1,6.16
764.61,5.94
764.61,5.94
774.02,5.79
755.21,6.16
758.03,5.71
758.03,5.71
737.94,5.99
734.11,6.3
732.41,6.26
751.18,6.05
738.92,5.87
734.04,5.61
727.44,6.4
719.97,6.16
727.89,5.88
756.25,5.97
778.85,5.83
762.63,5.97
763.09,5.73
747.94,5.91
767.28,5.92
770.53,6.03
753.52,5.56
753.89,5.62
756.95,5.95
749.4,6.03
744.6,5.98
763.57,6.09
749.63,5.64
749.63,5.64
753.73,5.93
735.96,5.64
745.82,5.6
758.12,5.75
742.18,4.99
744.8,5.23
799.46,5.31
798.34,5.64
780.93,5.8
790.46,5.54
785.54,5.08
780.86,5.32
761.4,5.62
788.09,5.08
788.09,5.08
778.18,5.19
770.62,5.1
784.61,4.85
683.59,2.88
695.76,-0.14
695.76,-0.14
718.17,2.63
780.41,5.28
780.41,5.28
789.52,5.45
796.33,5.61
801.09,5.65
811.47,5.7
799.85,5.64
799.85,5.64
781.91,5.27
786.38,5.82
788.67,5.78
760.63,5.83
747.8,5.82
747.8,5.82
774.45,4.98
790.07,5.76
792.32,5.51
792.32,5.51
770.66,5.8
766.96,6.06
766.96,6.06
747.99,4.98
757.87,5.99
739.95,6.09
739.95,6.09
749.7,5.31
749.7,5.31
752.19,5.5
761.53,5.35
753.51,5.22
744.35,5.84
743.94,5.41
760.94,3.64
757.54,4.98
757.54,4.98
784.81,5.73
762.46,6.05
766.53,5.99
766.53,5.99
805.1,5.73
805.1,5.73
791.07,5.66
787.55,5.67
800.98,5.66
804.73,5.67
804.73,5.67
694.3,5.35
788.57,5.32
804.32,4.98
775.41,5.87
775.81,5.09
775.81,5.09
806.71,5.37
784.7,5.32
772.19,5.51
772.19,5.51
774.57,5.78
792.42,5.54
779.25,5.35
800.8,5.33
796.89,5.09
781.56,5.23
794.24,5.68
783.54,5.66
792.74,5.49
761.66,5.83
761.66,5.83
759.88,5.61
751.12,5.33
772.32,5.79
772.06,5.92
758.6,5.31
778.2,5.72
779.16,5.65
746.9,5.57
752.89,6.1
751.01,5.74
745.91,6.23
751.71,5.86
770.37,6.02
747.33,5.56
755.11,5.77
769.55,5.57
769.55,5.57
766.07,5.86
792.94,5.81
794.76,5.71
796.82,5.81
796.82,5.81
800.74,5.3
805.57,5.59
817.93,5.65
776.51,3.95
761.51,4.03
761.51,4.03
756.98,4.27
758.34,4.45
772.08,4.77
778.68,5.2
778.68,5.2
773.8,4.76
774.64,5.11
752.93,5.68
743,4.3
783.46,5.19
761.94,5.78
779.9,5.56
778.41,5.64
747.04,5.63
758.34,5.71
756.33,5.84
778.83,5.1
777.39,5.59
753.2,5.96
750.6,5.35
727.41,5.13
757.72,5.71
740.55,6.1
740.27,5.29
755.61,5.89
755.61,5.89
739.58,5.95
758.99,5.76
785.14,5.79
792.07,5.5
756.72,5.97
761.56,6.06
761.56,6.06
755.24,5.79
774.24,5.66
772.57,5.61
756.02,5.54
760.08,5.92
812.09,5.39
796.06,5.52
792.1,5.65
792.1,5.65
784.92,5.78
800.03,5.72
788.27,5.72
788.27,5.72
797.72,5.26
792.24,5.84
789.02,5.79
792.76,5.76
788.2,5.71
814.28,5.56
789.76,5.75
789.76,5.75
814.13,5.55
803.5,5.64
803.5,5.64
798.67,5.53
775.94,5.66
783.81,5.76
799.92,5.68
790.22,5.84
790.22,5.84
804.38,5.57
755.05,6.02
755.05,6.02
767.95,5.94
788.24,5.76
746.9,6.09
753.49,6.13
747.52,6.08
746.98,6.09
745.94,6.08
746.29,6.22
742.38,6.1
742.54,6.08
733.54,6.24
731.08,6.22
731.08,6.22
750.16,6.08
744.68,6.01
741.76,6.12
757.52,6
757.52,6
758.13,6.1
735.01,6.1
735.01,6.1
767.45,6.01
770.82,5.81
762.97,5.94
762.97,5.94
790.91,5.74
783.98,5.9
774.55,5.78
651.93,1.42
651.93,1.42
778.76,5.28
778.76,5.28
781.39,5.76
776.64,5.86
776.64,5.86
791.08,5.86
791.08,5.86
780.14,5.69
790.55,5.62
778.24,5.79
755.83,5.97
777.21,5.92
781.96,5.81
761.63,5.73
761.63,5.73
793.01,5.81
793.01,5.81
796.88,5.15
796.88,5.15
806.13,5.74
806.13,5.74
798.61,5.67
801.32,3.67
786.21,5.9
790.87,5.65
784.81,5.71
758.66,5.5
758.66,5.5
771.22,5.22
771.3,5.78
774.12,5.98
777.93,5.83
763.64,5.9
776.11,5.86
771.47,5.75
779.76,5.82
779.76,5.82
763.77,6
806.24,5.73
759.89,5.98
759.89,5.98
769.62,5.03
814.88,5.32
790.6,5.57
798.22,5.69
810.27,5.37
793.69,5.71
788.58,5.79
795.56,5.81
788.56,5.72
787.65,5.29
776.27,5.82
787.12,5.8
781.89,5.8
747.88,6.18
757.79,6.11
757.79,6.11
777.6,5.43
739.11,6.29
764.35,5.64
763.42,5.69
780.28,5.83
735.16,5.87
743.53,5.87
776.3,5.72
733.02,5.9
756.38,5.89
766.83,5.95
760.98,5.7
748.51,6.05
742.67,6.11
734.95,6.1
731.68,6.24
731.68,6.24
738.35,6.29
745.83,6.08
728.71,5.86
755.11,6.09
748.17,5.93
760.15,6.07
747.82,6.17
742.8,6.19
747.57,5.97
760.82,6.04
743.24,5.8
769.04,6.03
769.04,6.03
748.57,4.84
761.93,5.88
773.51,5.88
765.89,5.93
770.21,5.89
754.04,5.31
754.04,5.31
785.26,4.94
774.48,5.53
763.77,5.91
763.77,5.91
774.12,5.37
774.12,5.37
797.2,5.4
789.48,5.7
789.29,5.73
786.78,5.77
786.78,5.77
815.84,5.4
777.16,5.69
765.92,5.91
808.01,5.6
797.12,5.75
823.98,5.49
809.45,5.58
798.16,5.65
782.72,5.92
761.84,5.73
770.67,5.89
800.07,5.42
787.15,5.74
774.27,5.98
797.16,5.64
750.36,5.55
765,5.78
784.69,5.61
756.97,5.95
762.35,5.92
784.22,5.91
782.36,5.84
798.35,5.65
763.05,5.96
795.02,5.82
779.9,5.95
791.98,5.67
768.1,5.85
772.42,5.87
767.93,5.83
757.98,6.01
791.81,5.43
763.05,5.12
805.52,5.61
773.46,5.85
775.01,5.96
773.14,5.85
743.24,5.88
769.57,6.03
774.66,5.84
787.69,5.74
767.42,5.86
788.11,5.8
790.2,5.76
785.43,5.73
776.97,5.84
731.78,5.16
753.49,4.73
746.49,5.8
744.09,5.83
749.78,5.34
749.09,6.03
748.01,5.21
736.79,4.97
764.11,4.9
720.9,5.47
744.94,6.05
762.92,5.95
758.07,5.98
766.51,6.05
732.19,5.1
737.47,5.83
758.68,6.08
775.82,5.92
787.06,5.71
761.08,6.06
747.71,6.1
746.78,6.1
751.08,5.87
772.48,5.76
749.98,5.79
763.94,6.08
774.25,5.99
757.2,5.81
773.71,6
738.67,4.81
783.1,5.8
764.91,6.08
773.49,5.99
758.6,5.19
782,5.9
781.58,5.8
784.98,5.9
770.04,5.88
762.24,5.6
764.83,5.29
764.65,5.58
793.77,5.52
800.51,5.05
771.19,5.06
799.09,5.44
772.72,5.17
806.65,4.77
801.27,4.54
787.48,5.36
822.01,5.63
820.45,5.59
811.96,5.55
788.22,5.03
768.9,5.4
774.73,5.4
776.83,5.12
784.16,5.14
814.29,5.49
787.03,5.48
806.23,5.43
797.21,5.15
768.95,5.68
770.07,6.03
772.12,4.65
805.03,5.33
809.78,5.68
779.98,5.46
760.29,5.38
777.56,5.36
796.82,5.09
767.05,4.17
755.73,5.56
764.81,5.41
768.78,5.85
737.54,6.14
734.78,4.59
708.05,4.97
728.73,6.1
742.88,5.71
739.67,5.99
748.48,6.04
744.85,6.11
753.3,6.05
731.39,5.47
760.33,5.59
748.49,6.21
734.39,6.32
759.45,5.99
760.59,6.01
735.73,4.34
782.03,5.8
772.35,5.87
772.48,5.89
772,6.01
741.1,6.27
753.61,6.02
776.97,5.83
762.02,5.98
789.6,5.72
739.47,6.29
771.98,5.77
762.19,6.05
759.83,5.98
736.59,5.92
738.14,6.26
774.71,5.91
783.92,5.81
787.38,5.19
741.48,6
771.32,5.82
803.69,5.64
795.2,5.69
798.81,5.67
769.17,5.87
769.83,5.89
802.46,5.64
786.2,5.71
772.61,6
782.49,5.77
778.12,5.75
796.59,5.57
764.27,5.99
762.51,5.94
767.1,6
760.32,6.1
786.49,5.63
767.26,5.95
759.59,5.95
783.12,5.81
759.89,5.99
758.93,5.97
769.39,5.86
775.57,5.96
776.37,5.55
777.85,5.71
793.71,5.65
764.64,6.08
772.78,5.68
773.3,4.96
785.74,5.73
786.22,5.87
767.47,5.9
754.26,5.36
788.59,5.87
813.38,5.46
804.24,5.59
815.57,5.46
804.36,5.52
810.33,5.25
793,5.71
790.16,5.74
806.72,5.51
775.96,5.73
782.2,5.89
772.36,5.87
766.11,5.93
785.02,5.76
791.67,5.24
775.09,5.47
766.97,5.67
791.79,5.46
770.66,5.61
743.57,6.12
774.17,5.93
778.26,5.9
762.25,6.07
748.75,6.09
793.85,5.75
770.49,5.73
747.15,6.23
781.91,5.79
793.26,5.67
762.58,5.94
780.83,5.83
776.44,5.99
750.8,6.07
768.83,5.92
743.4,6.06
733.24,6.33
744.33,6.1
745.97,6.09
748.16,6.03
746.79,6.2
754.8,6.05
731.45,6.31
729.76,6.39
729.15,5.66
786.18,5.88
785.35,5.71
791.15,5.76
763.31,5.69
769.01,6.04
762.33,5.96
801.45,5.48
768.98,5.81
803.81,5.76
800.64,5.66
779.42,5.94
773.24,6
788.86,5.68
790.17,5.68
776.07,5.77
824.56,5.61
804.65,5.32
773.92,5.89
765.83,5.77
802.87,5.58
788.27,5.89
